10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F0, 10, 00, 09, 00, 00, FF, FC, FF, FF, 00, 03, 00, 00, 06, 11, 00, 00, 02, BA, 00, 00, C1, 57, 00, 00, 01, 3E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, F1, A9, 86, 61, 00, 01, FD, 95, 00, 03, AE, 97, 00, 00, 06, BD, 00, 7E, 61, BA, 00, 3E, C6, 49, 0F, 98, 00, F9
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C5, 0A, 89, 8C, 00, 01, F3, EF, 00, 01, 8D, DD, FF, FF, 71, AF, 00, 77, B8, D0, 00, 3A, 00, 00, 0F, 9F, 00, 84
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C6, 98, 00, 04, FF, FF, FF, E5, FF, FF, FF, F7, 00, 00, 05, C7, 00, 00, 02, 9E, 00, 00, C1, BE, 00, 00, 01, 71
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C8, 26, A0, 6E, FF, FF, 34, 6F, FF, FF, 22, BE, FF, FF, 4F, B4, 00, 80, A0, D0, 00, 38, D7, 1F, 0F, 9E, 00, 94
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, C9, B5, 00, 1E, 00, 00, FF, FA, FF, FF, FF, F6, FF, FF, 06, 1D, 00, 00, 03, 40, 00, 00, C1, 23, 00, 00, 01, 1E
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CB, 43, 19, 90, 00, 00, 92, FC, FF, FE, 1C, 77, 00, 01, 8C, A6, 00, 79, 0D, 7A, 00, 45, 67, DE, 0F, A4, 00, 92
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CC, D2, 00, 08, 00, 00, FF, EF, FF, FF, 00, 02, 00, 00, 05, E4, 00, 00, 02, D4, 00, 00, C1, BA, 00, 00, 01, 1C
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CE, 60, 3E, 1F, FF, FF, A2, 6B, FF, FF, 81, 51, FF, FF, 26, EB, 00, 81, F9, E4, 00, 3E, 07, 80, 0F, A6, 00, 9A
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, CF, EF, 00, 08, FF, FF, FF, F5, 00, 00, 00, 12, 00, 00, 06, 06, 00, 00, 03, 12, 00, 00, C1, B2, 00, 00, 01, AC
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D1, 7E, 05, 3E, 00, 01, 76, 60, 00, 00, 94, 05, 00, 00, 1F, 54, 00, 7B, 34, 18, 00, 40, C1, 3F, 0F, A3, 00, 7B
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D3, 0B, 00, 24, 00, 00, FF, DF, FF, FF, FF, F7, 00, 00, 06, 16, 00, 00, 02, BE, 00, 00, C1, 0E, 00, 00, 01, CD
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D4, 9A, 70, 8F, 00, 00, 8E, 61, FF, FF, 91, 38, FF, FF, AA, 22, 00, 81, 60, 82, 00, 42, 62, 58, 0F, 97, 00, 3F
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D6, 28, FF, DE, FF, FF, 00, 00, FF, FF, 00, 08, 00, 00, 05, FE, 00, 00, 03, 36, 00, 00, C1, 94, 00, 00, 01, BE
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D7, B5, 73, 3A, 00, 01, 0E, 65, 00, 01, 17, B2, 00, 00, 89, 3E, 00, 77, D5, C6, 00, 3F, 30, 62, 0F, A5, 00, 22
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, D9, 44, FF, E8, 00, 00, FF, EB, FF, FF, 00, 1E, 00, 00, 05, E6, 00, 00, 02, DF, 00, 00, 00, 00, 00, 00, 01, 24
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, DA, D2, 24, 5F, FF, FE, 17, 95, FF, FE, 1B, 83, FF, FF, 89, F3, 00, 82, E2, D9, 00, 43, 36, 3A, 0F, A1, 00, DA
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, DC, 61, FF, F3, 00, 00, FF, EF, FF, FF, 00, 34, 00, 00, 06, 34, 00, 00, 03, 22, 00, 00, C1, FB, 00, 00, 01, B8
10, 02, 88, 00, 10, 02, 88, 00, 22, 91, DD, EF, 14, A3, FF, FF, F2, 7B, 00, 01, 9A, 8B, 00, 02, 3E, B0, 00, 75, 28, 06, 00, 39, 22, 3B, 0F, A9, 00, 42
